0	0	-1.6026	0	0	-1.858	0	0	0	0	0	19.107	0	0	0	0	0	3.636	0	0	0	0.16349	0	-0.84763	0	0	1.8132	0	0	5.4211	0	0	0	0	0	-51.46	0	0	0	0	0	0	0	0	0	0	0	-1.2788	-2.7606	19.699	10.459	0.069626	0	0	0	0	0	0	0	0	0	0	0	-0.56038
0	0	0	0	0.17713	0	0	0	0	0	0	0	0	0	0	0	0.11843	0	0	0	0	0	-0.41493	0	0	0	0	0	-0.17398	0	0	0	0	0	0	0	4.6849	-3.3428	1.1916	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.9119	0.67163	0	0	0	0	0	0	0	0	0	0
0	0	0	0	-5.6823	0	0	0	0	0	0.14375	0	0	0	0	0	0.11123	0	0	0	0	0	-1.1681	0	0	0	0	0	2.7127	0	0	0	0	0	0	0	0.71988	3.0264	1.7765	-0.20661	0	0	0	0	0	0	0	0	0	0	0	0	-1.4335	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	-0.44401	0	0	0	0	0	0.16721	0	0	0	0	0	0.26201	0	0	0	0	0	-7.1062	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.012735	0.24008	6.5991	0.38218	-0.087599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-0.11997	0	0	0.17208	0	0	0	0	0	-1.5351	0	0	-1.7679	0	0	0.2674	0	0	0	0	0	-3.8788	0	0	1.3456	0	0	0	0	0	0	0	0	-0.42088	0	0	-0.48193	4.1723	0.48766	1.4069	0.35271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1.6882	0	0	0	0	0	0	0	-0.29731	-0.85789	0	0	-6.2505	0	0	0.025775	0	0	0.33625	0	0	-0.56951	0	0	-0.36483	0	0	0	0	0	0	0	0	0.55119	0	0	0	0.56342	0.024168	3.4343	2.0855	-0.36885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1.7592	0	0	0	0	0	0.61192	0	-0.036501	-0.15613	0	0	-6.0271	0	0	0	0	0	-0.48573	0	0	0	0	0	0	0	-0.19185	0	0	0	-0.93499	0	0	0	0	0	0	0	-0.29963	2.7059	2.5708	0.079536	0.40462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.73287	0	0	0	0	0	1.0859	0	-0.0075435	0	0	0	-2.4991	0	0	0	0	0	-0.32061	0	0	0	0	0	0	0	-0.28811	0	0	0	-4.5461	0	0	0	0	0	0	0	0	0.57499	1.2114	1.8045	1.0553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3698	-0.17341	0	0	0	0
0	0	0	0	0	0	0	-0.18268	0	0	0	0	0	0	0	0	0	0	0	0.47092	0	0	0	0	0	0	0	0	0	0	0	-2.8701	0	0	0	0	0	0	0	0	0	0.20766	-1.5884	4.0953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.78629	0.6536	0	0	0	0
0	0	0	0	0	0	0	0	0.034416	0	0	0	0	0	0	0	0	0	0	0	-0.036013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7247	-3.1466	0.77185	0	0	0	0	0	0	0	0	0	0.7997	-3.1481	0	0	0	0	0	0
0	0	0.22754	0	0	0	0	0	-3.8645	0	0	0	0	0	-0.0053337	0	0	0	0	0	1.1454	0	0	0	0	0	-0.63878	0	0	0	0	0	-0.10559	0	0	0	0	0	0	0	0	0	0	0	1.199	1.1961	2.6372	-0.11739	0	0	0	0	0	0	0	0	0.38062	-2.0543	0	0	0	0	0	0
0	0	0.70831	0	0	0	0	0	-3.3825	0	0	0	0	0	-0.20278	0	0	-0.15482	0	0	1.0056	0	0	0	0	0	-4.5183	0	0	0	0	0	0.011241	0	0	0	0	0	0	0	0	0	0	0	0.13032	0.86933	3.1643	3.0314	-0.10876	0	0	0	0	0	0	0	0	-0.55337	0	0	0	0	0	0
0	0	0.4282	0	0	0	0	0	0.11842	0	0	0	0	0	0	0	0	-0.69782	0	0	0	0	0	0	0	0	-7.8092	0	0	0.11883	0	0	0	0	0	-0.15856	0	0	0	0	0	0	0	0	0	-0.22512	1.2542	6.9969	-0.44111	0.41526	0	0	0	0	0	0	0	0	0	0	0	0	0	0
